id;natura_del_bene;indirizzo;numero_civico;latitudine;longitudine;identificativo_catastale;tipologia_bene_immobile;altezza;superficie_di_riferimento_mq;epoca_costruzione;vincolo_culturale_paesaggistico;natura_giuridica_del_bene;utilizzo_del_bene;finalita;tipo_detenzione_a_terzi;canone_annuale;data_decorrenza;zona_omi
15206;FABBRICATO;via ghedini giorgio;21;45.0908662;7.7090707;"Accatastato - L219:::1145:38::;L219:::1145:39::59";Locale commerciale, negozio;Non Disponibile;47.0;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
15274;FABBRICATO;Via Bioglio;20;45.0872881;7.6974772;"Accatastato - L219:::1186:167::348;L219:::1186:167::50";Abitazione;Non Disponibile;50.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
15291;FABBRICATO;Via Franco Bonelli;4;45.0759132;7.6811059;"Accatastato - L219:::1217:204::6;L219:::1217:207::19";Abitazione;Non Disponibile;138.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
15609;FABBRICATO;via galvani luigi;7;45.0812754;7.6600871;"Accatastato - L219:::1176:172::1;L219:::1176:747::4";Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);4.0;7022.0;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività didattica;;;;
15630;FABBRICATO;Viale Suor Giovanna Francesca Michelotti;262;45.0792516;7.727324;"Accatastato - L219:::1208:22::1;L219:::1208:22::2";Abitazione;Non Disponibile;101.0;Dal 1946 al 1960;Nessuno;Patrimonio disponibile;Utilizzato direttamente;Altro;;;;
15762;FABBRICATO;via scotellaro rocco;7;45.1063616;7.7004232;"Accatastato - L219:::1082:266::4;L219:::1082:266::2";Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);4.0;3638.5;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;
16133;FABBRICATO;via nuova;2;45.02966;7.68779;"Accatastato - L219:::123:220::;L219:::123:395::2";Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);4.0;1518.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;
16187;FABBRICATO;Via Bioglio;30;45.0872881;7.6974772;"Accatastato - L219:::1186:167::85;L219:::1186:167::352";Abitazione;Non Disponibile;66.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
16188;FABBRICATO;Via Giovanni Pacini;6;45.0872881;7.6974772;"Accatastato - L219:::1186:167::357;L219:::1186:167::165";Abitazione;Non Disponibile;54.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
16213;FABBRICATO;via marsigli luigi ferdinando;25;45.0705123;7.628937;"Accatastato - L219:::1228:117::3;L219:::1228:117::4";Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);4.0;5109.25;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;
16250;FABBRICATO;Via Lorenzo Delleani;25;45.0671209;7.6341167;"Accatastato - L219:::1235:102::4;L219:::1235:102::2";Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);4.0;3394.5;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;
19833;FABBRICATO;via moncalvo;47;45.0646643;7.7079691;"Accatastato - L219:::1311:146::7;L219:::1311:146::5;L219:::1311:146::6";Struttura residenziale collettiva (es.: collegi e convitti, educandati, ricoveri, orfanotrofi, ospizi, conventi, seminari);5.0;310.2;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;
20159;FABBRICATO;Via Bioglio;18;45.0872881;7.6974772;"Accatastato - L219:::1186:167::346;L219:::1186:167::38";Abitazione;Non Disponibile;54.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
20229;FABBRICATO;via palmieri pietro;56;45.0725604;7.6595633;"Accatastato - L219:::1222:347::;L219:::1222:348::1;L219:::1222:339::";Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);4.0;4949.0;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività didattica;;;;
20970;FABBRICATO;corso traiano;143 A;45.0214049;7.6536208;"Accatastato - L219:::1443:646::356;L219:::1443:647::5";Abitazione;Non Disponibile;95.0;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
21163;FABBRICATO;via le chiuse;80;45.0811779;7.6598264;"Accatastato - L219:::1176:172::2;L219:::1176:747::5;L219:::1176:162::2";Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);4.0;4194.25;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività didattica;;;;
22185;FABBRICATO;Via Franco Bonelli;4;45.0759132;7.6811059;"Accatastato - L219:::1217:207::20;L219:::1217:204::7";Abitazione;Non Disponibile;138.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
22354;FABBRICATO;Via Franco Bonelli;4;45.0759132;7.6811059;"Accatastato - L219:::1217:207::18;L219:::1217:204::11";Abitazione;Non Disponibile;138.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
22406;FABBRICATO;via saccarelli gaspare;20;45.0806128;7.6669068;"Accatastato - L219:::1178:225::4;L219:::1178:219::4";Struttura residenziale collettiva (es.: collegi e convitti, educandati, ricoveri, orfanotrofi, ospizi, conventi, seminari);5.0;460.0;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività artistica e culturale;;;;
22489;FABBRICATO;CORSO MATTEOTTI GIACOMO;SNC;45.0691211;7.6732595;"Accatastato - L219:::1244:264::;L219:::1244:263::;L219:::1244:265::";Biblioteca, pinacoteca, museo, gallerie;5.0;288.0;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Attività artistica e culturale;;;;
22565;FABBRICATO;Viale Burdin;10;45.0570562;7.6325505;"Accatastato - L219:::1291:127::2;L219:::1291:127::1";Abitazione;Non Disponibile;159.0;Dal 1961 al 1970;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;
22979;FABBRICATO;Strada dei Ronchi;29;45.0293835;7.6905532;"Accatastato - L219:::1416:243::1;L219:::1416:242::1";Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);4.0;625.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;
