id;gruppo_catastale;quotazione_immobiliare_mq
3107862;A;1500.0
3107863;A;1500.0
3107864;A;1855.0
3107865;A;1270.0
3107866;B;1312.0
3107867;A;1270.0
3107868;B;1312.0
3107869;A;1270.0
3107870;A;1270.0
3107871;A;1270.0
3107872;C;1112.0
3107873;A;1270.0
3107874;D;1312.0
3107875;A;1270.0
3107876;A;1270.0
3107877;A;1270.0
3107878;A;1515.0
3107879;A;1270.0
3107880;A;1515.0
3107881;A;1515.0
3107882;A;1515.0
3107883;A;1515.0
3107884;A;1515.0
3107885;C;1033.0
3107886;B;1394.0
3107887;A;1515.0
3107888;A;1515.0
3107889;A;1988.0
3107890;A;1270.0
3107891;B;1394.0
3107892;A;1270.0
3107893;B;1394.0
3107894;A;1515.0
3107895;C;838.0
3107896;A;1138.0
3107897;A;1138.0
3107898;A;1138.0
3107899;C;838.0
3107900;A;1138.0
3107901;D;1302.0
3107902;A;1138.0
3107903;A;1138.0
3107904;A;1138.0
3107905;A;1138.0
3107906;A;1138.0
3107907;A;1138.0
3107908;A;1138.0
3107909;A;1138.0
3107910;A;1138.0
3107911;C;838.0
3107912;A;1138.0
3107913;A;1138.0
3107914;A;863.0
3107915;B;939.0
3107916;A;863.0
3107917;A;863.0
3107918;A;863.0
3107919;A;863.0
3107920;A;863.0
3107921;A;863.0
3107922;A;863.0
3107923;A;863.0
3107924;B;939.0
3107925;A;863.0
3107926;A;863.0
3107927;A;967.0
3107928;A;1333.0
3107929;A;1333.0
3107930;A;1426.0
3107931;B;1261.0
3107932;A;1426.0
3107933;A;2056.0
3107934;A;967.0
3107935;A;1805.0
3107936;A;967.0
3107937;C;1338.0
3107938;A;1805.0
3107939;A;1805.0
3107940;A;1805.0
3107941;A;1805.0
3107942;A;1805.0
3107943;A;1138.0
3107944;A;1515.0
3107945;A;1515.0
3107946;B;1394.0
3107947;B;1394.0
3107948;A;1515.0
3107949;A;1515.0
3107950;A;1515.0
3107951;C;1033.0
3107952;A;1515.0
3107953;A;1515.0
3107954;C;1033.0
3107955;A;1988.0
3107956;A;1988.0
3107957;A;1988.0
3107958;A;1988.0
3107959;A;1988.0
3107960;A;1988.0
3107961;A;1988.0
3107962;A;1515.0
3107963;A;1515.0
3107964;A;1515.0
3107965;A;1515.0
3107966;A;1988.0
3107967;A;1515.0
3107968;A;1515.0
3107969;A;1515.0
3107970;A;1988.0
3107971;A;1988.0
3107972;A;1988.0
3107973;A;1988.0
3107974;B;2256.0
3107975;A;1988.0
3107976;A;1988.0
3107977;A;1988.0
3107978;A;1988.0
3107979;A;1988.0
3107980;A;2158.0
3107981;A;2158.0
3107982;A;2158.0
3107983;A;1800.0
3107984;A;1800.0
3107985;B;1888.0
3107986;A;1525.0
3107987;A;1525.0
3107988;C;908.0
3107989;A;1525.0
3107990;B;1553.0
3107991;C;908.0
3107992;A;1855.0
3107993;A;1717.0
3107994;A;1717.0
3107995;B;1768.0
3107996;D;321.0
3107997;A;1717.0
3107998;C;1188.0
3107999;A;1717.0
3108000;A;1242.0
3108001;A;1426.0
3108002;A;1242.0
3108003;A;1242.0
3108004;A;1242.0
3108005;A;1242.0
3108006;A;1717.0
3108007;A;1717.0
3108008;A;1717.0
3108009;A;1717.0
3108010;A;1497.0
3108011;A;1525.0
3108012;A;1525.0
3108013;A;2631.0
3108014;A;2631.0
3108015;A;1988.0
3108016;A;1988.0
3108017;A;1988.0
3108018;B;2256.0
3108019;B;2409.0
3108020;C;2095.0
3108021;C;2095.0
3108022;A;1988.0
3108023;A;1988.0
3108024;C;2095.0
3108025;A;1988.0
3108026;A;1988.0
3108027;A;1988.0
3108028;A;2738.0
3108029;A;2738.0
3108030;A;1988.0
3108031;A;1988.0
3108032;C;2095.0
3108033;A;1988.0
3108034;A;1988.0
3108035;A;1988.0
3108036;A;1988.0
3108037;A;1988.0
3108038;C;2095.0
3108039;B;2597.0
